Nsample	fc	zr	MNAR	model	pAUROC
5	10	0.4	1	ModT-SampMin	0.998167570033633
5	1.2	0.5	0	Wilcoxon-bPCA	0.514778589299541
5	1.5	0.5	0	ModT-bPCA	0.58088535613166
5	1.8	0.5	0	ModT-bPCA	0.650842508895898
5	2	0.5	0	ModT-bPCA	0.691300743184494
5	3	0.5	0	ModT-bPCA	0.83311834104435
5	5	0.5	0	ModT	0.930038248596853
5	10	0.5	0	ModT	0.981021151216083
5	1.2	0.5	0.1	Wilcoxon-bPCA	0.514377289819013
5	1.5	0.5	0.1	ModT-bPCA	0.578350305526424
5	1.8	0.5	0.1	ModT-bPCA	0.645883834585006
5	2	0.5	0.1	ModT-bPCA	0.686834618767498
5	3	0.5	0.1	ModT-bPCA	0.829329979672943
5	5	0.5	0.1	ModT	0.92920568717663
5	10	0.5	0.1	ModT	0.981072218435006
5	1.2	0.5	0.2	Wilcoxon-bPCA	0.514013442178352
5	1.5	0.5	0.2	ModT-bPCA	0.575924259061361
5	1.8	0.5	0.2	ModT-bPCA	0.64043336096491
5	2	0.5	0.2	ModT-bPCA	0.681571144485511
5	3	0.5	0.2	ModT-bPCA	0.823533822539008
5	5	0.5	0.2	ModT	0.929461851264374
5	10	0.5	0.2	ModT	0.980866973964584
5	1.2	0.5	0.3	Wilcoxon-bPCA	0.512918937917142
5	1.5	0.5	0.3	ModT-bPCA	0.572268577832323
5	1.8	0.5	0.3	ModT-bPCA	0.634351090599169
5	2	0.5	0.3	ModT-bPCA	0.673436467660446
5	3	0.5	0.3	ModT-bPCA	0.816461417706874
5	5	0.5	0.3	ModT	0.929203945461574
5	10	0.5	0.3	ModT	0.980702109598139
5	1.2	0.5	0.4	Wilcoxon-bPCA	0.512164731925656
5	1.5	0.5	0.4	ModT-bPCA	0.568546180435893
5	1.8	0.5	0.4	ModT-bPCA	0.626851554376447
5	2	0.5	0.4	ModT-bPCA	0.666731132245168
5	3	0.5	0.4	ModT	0.810337454761774
5	5	0.5	0.4	ModT	0.928268416174889
5	10	0.5	0.4	ModT	0.980868391969783
5	1.2	0.5	0.5	Wilcoxon-bPCA	0.511190764403644
5	1.5	0.5	0.5	ModT-bPCA	0.564036329244812
5	1.8	0.5	0.5	ModT-bPCA	0.618859823221345
5	2	0.5	0.5	ModT-bPCA	0.654780249214888
5	3	0.5	0.5	ModT	0.807552242879943
5	5	0.5	0.5	ModT	0.927548553414606
5	10	0.5	0.5	ModT	0.980615567128937
5	1.2	0.5	0.6	Wilcoxon-bPCA	0.509842243523847
5	1.5	0.5	0.6	ModT-bPCA	0.558794004061561
5	1.8	0.5	0.6	ModT-bPCA	0.608272163403724
5	2	0.5	0.6	ModT-bPCA	0.642004021717421
5	3	0.5	0.6	ModT	0.805250534224012
5	5	0.5	0.6	ModT	0.926603379205659
5	10	0.5	0.6	ModT	0.980067882076375
5	1.2	0.5	0.7	Wilcoxon-bPCA	0.508157617655076
5	1.5	0.5	0.7	ModT-bPCA	0.552761125696051
5	1.8	0.5	0.7	ModT	0.597511576404002
5	2	0.5	0.7	ModT	0.639732513817355
5	3	0.5	0.7	ModT	0.802021837768737
5	5	0.5	0.7	ModT	0.923967735754594
5	10	0.5	0.7	ModT	0.979309896384196
5	1.2	0.5	0.8	Wilcoxon-SampMin	0.507547548789338
5	1.5	0.5	0.8	Wilcoxon-SampMin	0.566698454823866
5	1.8	0.5	0.8	Wilcoxon-SampMin	0.622719026810033
5	2	0.5	0.8	Wilcoxon-SampMin	0.652709642369904
5	3	0.5	0.8	ModT	0.796395614917032
5	5	0.5	0.8	ModT	0.919763946022174
5	10	0.5	0.8	ModT	0.977531552624958
5	1.2	0.5	0.9	Wilcoxon-SampMin	0.51451419949004
5	1.5	0.5	0.9	Wilcoxon-SampMin	0.586363952474868
5	1.8	0.5	0.9	Wilcoxon-SampMin	0.660920354266523
5	2	0.5	0.9	Wilcoxon-SampMin	0.701561377566827
5	3	0.5	0.9	Wilcoxon-SampMin	0.805915677644727
5	5	0.5	0.9	ModT	0.913878896750036
5	10	0.5	0.9	ModT	0.975005559313124
5	1.2	0.5	1	Wilcoxon-SampMin	0.521209183465009
5	1.5	0.5	1	ModT-SampMin	0.62600294234998
5	1.8	0.5	1	ModT-SampMin	0.748045050459954
5	2	0.5	1	ModT-SampMin	0.811761266914515
5	3	0.5	1	ModT-SampMin	0.947259439654082
5	5	0.5	1	ModT-SampMin	0.988919714768033
5	10	0.5	1	ModT-SampMin	0.997990371174854
5	1.2	0.6	0	ModT-bPCA	0.51302139405317
5	1.5	0.6	0	ModT-bPCA	0.561866805191693
5	1.8	0.6	0	ModT-bPCA	0.612649476910733
5	2	0.6	0	ModT-bPCA	0.648683955439188
5	3	0.6	0	ModT-bPCA	0.780549218551049
5	5	0.6	0	ModT	0.902375110107313
5	10	0.6	0	ModT	0.972025911894821
5	1.2	0.6	0.1	ModT-bPCA	0.512903874180702
5	1.5	0.6	0.1	ModT-bPCA	0.560561313355116
5	1.8	0.6	0.1	ModT-bPCA	0.609596030041378
